,City,Cloudiness,Country,Humidity,Date,Lat,Lng,Max Temp,Windspeed
85,hobart,40.0,AU,38.0,1576111033,-42.88,147.33,15.0,9.8
86,sibate,75.0,CO,82.0,1576111226,4.48,-74.25,14.0,2.6
87,saquena,57.0,PE,83.0,1576111226,-4.67,-73.52,25.14,1.06
88,buraydah,4.0,SA,93.0,1576111226,26.33,43.97,12.0,3.65
89,sangar,95.0,RU,95.0,1576111226,63.92,127.47,-32.63,2.24
90,sabaudia,75.0,IT,87.0,1576111226,41.3,13.03,8.33,1.5
91,codrington,40.0,AU,58.0,1576111226,-28.95,153.24,29.0,2.6
92,nikolskoye,20.0,RU,86.0,1576111226,59.7,30.79,-1.67,4.0
93,presidencia roque saenz pena,0.0,AR,28.0,1576111226,-26.79,-60.44,28.52,2.96
94,tasiilaq,100.0,GL,85.0,1576111226,65.61,-37.64,-4.0,13.4
95,pevek,100.0,RU,94.0,1576111226,69.7,170.27,-11.48,6.05
96,necochea,83.0,AR,95.0,1576111226,-38.55,-58.74,18.89,1.34
97,buchanan,16.0,LR,91.0,1576111226,5.88,-10.05,24.62,0.94
98,provideniya,75.0,RU,98.0,1576111226,64.42,-173.23,0.0,4.0
99,chokurdakh,100.0,RU,96.0,1576111226,70.62,147.9,-29.95,1.71
100,shakawe,48.0,BW,53.0,1576111226,-18.36,21.84,22.97,1.42
101,ribeira grande,61.0,PT,64.0,1576111226,38.52,-28.7,12.17,1.87
102,qaqortoq,100.0,GL,31.0,1576111226,60.72,-46.03,1.0,11.8
103,fort nelson,90.0,CA,84.0,1576111226,58.81,-122.69,-18.0,2.6
106,valdosta,40.0,US,81.0,1576111227,30.83,-83.28,13.0,3.1
107,gizo,100.0,IL,72.0,1576111227,31.8,34.94,16.0,2.1
108,vilyuysk,98.0,RU,93.0,1576111227,63.75,121.63,-29.67,2.49
109,jinchang,0.0,CN,30.0,1576110997,38.52,102.19,-6.21,0.92
110,mbumi,0.0,TZ,97.0,1576111227,-7.91,39.21,23.28,0.58
111,salalah,40.0,OM,73.0,1576111227,17.01,54.1,24.0,2.1
112,port-gentil,78.0,GA,81.0,1576111227,-0.72,8.78,26.76,6.35
114,torbay,90.0,CA,100.0,1576111227,47.66,-52.73,0.56,6.7
115,kingaroy,51.0,AU,37.0,1576111227,-26.54,151.84,33.33,4.6
117,jiayuguan,10.0,CN,61.0,1576111227,39.77,98.29,-9.16,1.01
118,katsuura,75.0,JP,57.0,1576111227,33.93,134.5,12.78,4.6
119,rocha,35.0,UY,64.0,1576111227,-34.48,-54.34,21.74,1.43
120,parana,100.0,BR,93.0,1576111227,-7.52,-72.89,23.97,1.07
121,saint-francois,75.0,FR,80.0,1576111227,46.42,3.91,5.0,5.1
122,bosaso,55.0,SO,87.0,1576111067,11.28,49.18,26.07,3.7
125,douentza,60.0,ML,22.0,1576111228,15.01,-2.95,16.76,1.72
126,uppsala,100.0,SE,100.0,1576111201,59.86,17.64,4.44,3.6
127,port elizabeth,1.0,US,63.0,1576111228,39.31,-74.98,2.78,3.1
128,beringovskiy,83.0,RU,85.0,1576111228,63.05,179.32,-1.69,4.78
129,kassala,40.0,SD,85.0,1576111228,15.45,36.38,21.87,2.56
130,airai,60.0,TL,47.0,1576111228,-8.93,125.41,26.63,1.69
132,zirc,75.0,HU,84.0,1576111228,47.26,17.87,0.0,3.32
133,kinablangan,99.0,PH,74.0,1576111228,7.69,126.55,25.77,2.66
134,hun,100.0,BE,93.0,1576111228,50.34,4.87,5.56,4.6
135,borogontsy,92.0,RU,97.0,1576111228,62.67,131.17,-36.41,1.53
136,leh,100.0,IN,85.0,1576111228,34.16,77.58,-13.63,0.79
137,nanortalik,100.0,GL,66.0,1576111229,60.14,-45.24,-0.06,4.73
138,los llanos de aridane,20.0,ES,72.0,1576111229,28.66,-17.92,18.0,5.7
139,san cristobal,28.0,HN,85.0,1576111229,14.68,-86.92,19.42,2.45
140,huilong,100.0,CN,93.0,1576111229,31.15,106.5,11.16,0.42
141,ayan,0.0,IR,55.0,1576111229,38.23,44.7,-6.44,2.78
142,castro,20.0,CL,71.0,1576111229,-42.48,-73.76,11.0,2.1
145,cherskiy,100.0,RU,97.0,1576111229,68.75,161.3,-20.21,7.05
146,broome,65.0,GB,92.0,1576111229,52.47,1.45,2.22,4.1
147,muzhi,99.0,RU,82.0,1576111229,65.4,64.7,-9.15,5.4
148,mar del plata,57.0,AR,61.0,1576111229,-46.43,-67.52,10.27,13.65
149,nome,1.0,US,54.0,1576111229,30.04,-94.42,12.0,2.6
150,zhigansk,100.0,RU,95.0,1576111229,66.77,123.37,-34.12,3.81
151,kapaa,1.0,US,69.0,1576110934,22.08,-159.32,28.0,2.6
152,kodiak,1.0,US,55.0,1576111229,39.95,-94.76,3.33,3.6
153,lake cowichan,90.0,CA,93.0,1576111229,48.82,-124.05,8.0,3.1
155,jamestown,100.0,AU,39.0,1576111229,-33.21,138.6,19.65,3.74
